"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"3202",4259,"Tobias Sippel","Basic","Germany","Bundesliga","GK",73,"Borussia Mönchengladbach","75","78","68","69","68"
"3204",4261,"Andrey Sinitsyn","Basic","Russia","Sogaz Russian Football Championship","GK",73,"FC Krasnodar","73","74","74","73","74"
"3214",4271,"Pedro Gallese","Basic","Peru","LIGA Bancomer MX","GK",73,"Tiburones Rojos de Veracruz","77","72","72","69","72"
"3221",4278,"Warner Hahn","Basic","Netherlands","Eredivisie","GK",73,"Feyenoord","74","79","68","74","68"
"3227",4284,"Simone Scuffet","Basic","Italy","Calcio A","GK",73,"Udinese","73","83","69","72","69"
"3243",4302,"Jaume","Basic","Spain","LaLiga Santander","GK",73,"Valencia CF","73","79","69","73","69"
"3244",4303,"Jaume","Basic","Spain","LaLiga Santander","GK",73,"Valencia CF","73","79","69","73","69"
"3344",4422,"Rodrigo Rey","Basic","Argentina","Primera División","GK",73,"Godoy Cruz","73","80","72","75","72"
"3355",4433,"Christian Mathenia","Basic","Germany","Bundesliga","GK",73,"Hamburger SV","74","77","75","69","75"
"3358",4436,"Guillermo Sara","Basic","Argentina","Primera División","GK",73,"Boca Juniors","74","77","69","70","69"
"3359",4437,"Guillermo Sara","Basic","Argentina","Primera División","GK",73,"Boca Juniors","74","77","69","70","69"
"3372",4450,"Ricardo","Basic","Portugal","Liga NOS","GK",73,"Chaves","75","74","76","74","76"
"3425",4504,"Ørjan Nyland","Basic","Norway","Bundesliga","GK",73,"FC Ingolstadt 04","76","77","75","68","75"
"3442",4521,"Erwin Mulder","Basic","Netherlands","Eredivisie","GK",73,"SC Heerenveen","74","76","72","70","72"
"3459",4538,"Bracali","Basic","Brazil","Liga NOS","GK",73,"FC Arouca","76","73","74","73","74"
"3483",4562,"Luciano Pocrnjic","Basic","Argentina","Primera División","GK",73,"Newell's Old Boys","74","73","74","72","74"
"3507",4588,"John Ruddy","Basic","England","EFL Championship","GK",73,"Norwich City","74","75","74","69","74"
"3512",4599,"Diego Barreto","Basic","Paraguay","International","GK",72,"Paraguay","76","74","71","73","71"
"3513",4600,"Brad Jones","Basic","Australia","Eredivisie","GK",72,"Feyenoord","75","72","70","72","70"
"3526",4613,"Craig Gordon","Basic","Scotland","Scottish Premiership","GK",72,"Celtic","70","76","72","68","72"
"3529",4616,"Boaz Myhill","Basic","Wales","Premier League","GK",72,"West Bromwich Albion","74","78","70","71","70"
"3537",4624,"Alexander Manninger","Basic","Austria","Premier League","GK",72,"Liverpool","72","74","72","72","72"
"3539",4626,"Moreira","Basic","Portugal","Liga NOS","GK",72,"Estoril Praia","74","72","72","75","72"
"3540",4627,"Nicolas Penneteau","Basic","France","Belgium Pro League","GK",72,"Sporting Charleroi","70","67","82","79","82"
"3546",4633,"Julián Speroni","Basic","Argentina","Premier League","GK",72,"Crystal Palace","75","74","69","72","69"
"3551",4638,"Toño","Basic","Spain","LaLiga 1 I 2 I 3","GK",72,"Rayo Vallecano","73","72","78","68","78"
"3555",4642,"Sebastián Saja","Basic","Argentina","LaLiga 1 I 2 I 3","GK",72,"Nàstic","69","72","75","74","75"
"3565",4652,"Gianluca Curci","Basic","Italy","Bundesliga","GK",72,"1. FSV Mainz 05","70","74","79","70","79"
"3575",4662,"Artem Rebrov","Basic","Russia","Sogaz Russian Football Championship","GK",72,"Spartak Moscow","74","76","74","69","74"
"3582",4669,"Mark Bunn","Basic","England","EFL Championship","GK",72,"Aston Villa","75","74","71","72","71"
"3584",4671,"Péter Gulácsi","Basic","Hungary","Bundesliga","GK",72,"RB Leipzig","74","78","69","70","69"
"3594",4681,"Panagiotis Glykos","Basic","Greece","Rest of World","GK",72,"PAOK","76","78","68","69","68"
"3597",4684,"Wolfgang Hesl","Basic","Germany","Bundesliga 2","GK",72,"DSC Arminia Bielefeld","74","74","73","71","73"
"3598",4685,"Cenk Gönen","Basic","Turkey","Süper Lig","GK",72,"Galatasaray SK","85","82","64","64","64"
"3600",4687,"Luis Robles","Basic","United States","Major League Soccer","GK",72,"New York Red Bulls","70","77","72","69","72"
"3602",4689,"Luis Ardente","Basic","Argentina","Primera División","GK",72,"San Martín","73","78","70","72","70"
"3608",4695,"Zeng Cheng","Basic","China PR","International","GK",72,"China PR","69","69","78","71","78"
"3611",4698,"Dušan Kuciak","Basic","Slovakia","Premier League","GK",72,"Hull City","76","77","77","64","77"
"3617",4704,"Adam Federici","Basic","Australia","Premier League","GK",72,"Bournemouth","73","73","70","69","70"
"3683",4770,"Nicola Leali","Basic","Italy","Rest of World","GK",72,"Olympiacos CFP","76","80","68","72","68"
"3701",4789,"Rubén Blanco","Basic","Spain","LaLiga Santander","GK",72,"RC Celta","78","69","74","72","74"
"3740",4828,"Kepa Arrizabalaga","Basic","Spain","LaLiga Santander","GK",72,"Athletic Club","74","77","69","70","69"
"3743",4832,"Mathieu Michel","Basic","France","Ligue 1","GK",72,"Angers SCO","74","75","72","71","72"
"3750",4840,"Robin Himmelmann","Basic","Germany","Bundesliga 2","GK",72,"FC St. Pauli Hamburg","71","78","75","68","75"
"3794",4886,"David Yurchenko","Basic","Russia","Sogaz Russian Football Championship","GK",72,"FC Anzhi Makhachkala","65","75","76","71","76"
"3862",4954,"Marcos Díaz","Basic","Argentina","Primera División","GK",72,"Club Atlético Huracán","70","76","78","68","78"
"3875",4967,"Željko Brkic","Basic","Serbia","Rest of World","GK",72,"PAOK","77","74","76","69","76"
"3913",5005,"Vid Belec","Basic","Slovenia","Calcio B","GK",72,"Carpi","73","74","73","74","73"
"3914",5006,"Kristoffer Nordfeldt","Basic","Sweden","Premier League","GK",72,"Swansea City","73","78","74","66","74"
"4021",5113,"Pau López","Basic","Spain","LaLiga Santander","GK",72,"RCD Espanyol","70","71","74","75","74"
"4022",5114,"Pau López","Basic","Spain","Premier League","GK",72,"Tottenham Hotspur","70","71","74","75","74"
"4027",5119,"David Soria","Basic","Spain","LaLiga Santander","GK",72,"Sevilla FC","76","71","78","67","78"
"4030",5122,"Hayrullah Mert Akyüz","Basic","Turkey","Süper Lig","GK",72,"Adanaspor","78","78","71","66","71"
"4184",5294,"Camilo Vargas","Basic","Colombia","Liga Dimayor","GK",72,"Deportivo Cali","77","76","69","72","69"
"4190",5300,"Ricardo Jérez","Basic","Guatemala","Liga Dimayor","GK",72,"Alianza Petrolera","73","73","73","77","73"
"4191",5301,"Mykyta Shevchenko","Basic","Ukraine","Rest of World","GK",72,"Shakhtar Donetsk","74","74","69","72","69"
"4193",5303,"William Dutoit","Basic","France","Belgium Pro League","GK",72,"Sint-Truidense VV","75","76","70","73","70"
"4220",5331,"Kevin Stuhr-Ellegaard","Basic","Denmark","Allsvenskan","GK",72,"IF Elfsborg","68","68","75","77","75"
"4242",5363,"Baptiste Reynet","Basic","France","Ligue 1","GK",72,"Dijon FCO","73","78","71","65","71"
"4251",5372,"Irureta","Basic","Spain","LaLiga 1 I 2 I 3","GK",72,"R. Zaragoza","76","76","69","70","69"
"4253",5374,"Benjamin van Leer","Basic","Netherlands","Eredivisie","GK",72,"Roda JC Kerkrade","72","71","70","78","70"
"4254",5375,"Sebastián Sosa","Basic","Uruguay","Primera División","GK",72,"Rosario Central","74","77","70","69","70"
"4256",5377,"Jordan Pickford","Basic","England","Premier League","GK",72,"Sunderland","72","74","71","75","71"
"4272",5393,"Nauzet","Basic","Spain","LaLiga Santander","GK",72,"CA Osasuna","69","71","75","77","75"
"4273",5394,"Remko Pasveer","Basic","Netherlands","Eredivisie","GK",72,"PSV","72","70","75","75","75"
"4275",5396,"Robert Almer","Basic","Austria","Österreichische Fußball-Bundesliga","GK",72,"FK Austria Wien","74","70","74","72","74"
"4304",5426,"Dimitrios Konstantopoulos","Basic","Greece","Premier League","GK",71,"Middlesbrough","72","70","75","70","75"
"4309",5431,"José Cuadrado","Basic","Colombia","Liga Dimayor","GK",71,"Once Caldas","75","74","73","63","73"
"4313",5435,"Eugenio Lamanna","Basic","Italy","Calcio A","GK",71,"Genoa","70","74","71","72","71"
"4343",5467,"Sebastián Viera","Basic","Uruguay","Liga Dimayor","GK",71,"Junior FC","73","75","66","67","66"
"4398",5531,"Bartosz Bialkowski","Basic","Poland","EFL Championship","GK",71,"Ipswich Town","71","75","72","69","72"
"4400",5534,"Scott Carson","Basic","England","EFL Championship","GK",71,"Derby County","72","71","67","73","67"
"4401",5535,"Jorge Carranza","Basic","Argentina","Primera División","GK",71,"Colón de Santa Fe","68","69","71","74","71"
"4435",5573,"Oscar Ustari","Basic","Argentina","LIGA Bancomer MX","GK",71,"Club Atlas","77","73","65","68","65"
"4455",5595,"Michael Agazzi","Basic","Italy","Calcio B","GK",71,"Cesena","73","73","69","72","69"
"4467",5609,"Andreas Isaksson","Basic","Sweden","Allsvenskan","GK",71,"Djurgårdens IF","75","75","71","68","71"
"4471",5613,"Gianluca Pegolo","Basic","Italy","Calcio A","GK",71,"Sassuolo","72","74","74","68","74"
"4496",5638,"Laurent Pionnier","Basic","France","Ligue 1","GK",71,"Montpellier Hérault SC","74","75","74","71","74"
"4497",5639,"Raphael Schäfer","Basic","Germany","Bundesliga 2","GK",71,"1. FC Nürnberg","64","74","77","71","77"
"4558",5706,"Diego Rodríguez","Basic","Argentina","Primera División","GK",71,"Rosario Central","75","75","67","66","67"
"4559",5707,"Diego Rodríguez","Basic","Argentina","Primera División","GK",71,"Independiente","75","75","67","66","67"
"4560",5708,"Markos Vellidis","Basic","Greece","Rest of World","GK",71,"PAOK","74","75","70","67","70"
"4576",5726,"Paul Nardi","Basic","France","Ligue 1","GK",71,"Stade Rennais FC","76","72","64","67","64"
"4589",5740,"Davy Roef","Basic","Belgium","Belgium Pro League","GK",71,"RSC Anderlecht","75","73","67","76","67"
"4613",5766,"Alfred Gomis","Basic","Senegal","Calcio A","GK",71,"Torino","75","73","73","71","73"
"4614",5767,"Alfred Gomis","Basic","Senegal","Calcio A","GK",71,"Bologna","75","73","73","71","73"
"4648",5805,"László Köteles","Basic","Hungary","Belgium Pro League","GK",71,"KRC Genk","73","73","69","69","69"
"4649",5806,"László Köteles","Basic","Hungary","Belgium Pro League","GK",71,"Waasland-Beveren","73","73","69","69","69"
"4658",5815,"Yoel","Basic","Spain","LaLiga Santander","GK",71,"SD Eibar","74","70","70","71","70"
"4664",5821,"Denis Petric","Basic","Serbia","Ligue 1","GK",71,"Angers SCO","71","74","76","67","76"
"4668",5825,"Ádám Bogdán","Basic","Hungary","EFL Championship","GK",71,"Wigan Athletic","73","74","71","71","71"
"4671",5828,"Martin Hansen","Basic","Denmark","Bundesliga","GK",71,"FC Ingolstadt 04","72","72","71","67","71"
"4681",5838,"David González","Basic","Colombia","Liga Dimayor","GK",71,"Independiente Medellín","67","69","78","74","78"
"4682",5839,"Aleš Hruška","Basic","Czech Republic","International","GK",71,"Czech Republic","68","75","70","69","70"
"4685",5842,"David Stockdale","Basic","England","EFL Championship","GK",71,"Brighton & Hove Albion","72","73","68","69","68"
"4695",5853,"Vagner","Basic","Brazil","Belgium Pro League","GK",71,"Royal Excel Mouscron","73","71","73","73","73"
"4879",6041,"Mert Günok","Basic","Turkey","Süper Lig","GK",71,"Bursaspor","71","74","72","70","72"
"4880",6042,"Johannes Hopf","Basic","Sweden","Süper Lig","GK",71,"Gençlerbirligi SK","72","77","74","70","74"
"4900",6062,"Didier Ovono Ebang","Basic","Gabon","Belgium Pro League","GK",71,"KV Oostende","73","79","69","67","69"
"4902",6064,"Andre Blake","Basic","Jamaica","Major League Soccer","GK",71,"Philadelphia Union","73","78","72","65","72"
"4908",6070,"Stephan Andersen","Basic","Denmark","Alka Superliga","GK",71,"FC København","68","67","76","71","76"
"4922",6084,"Francesco Benussi","Basic","Italy","Calcio B","GK",71,"Vicenza","72","69","73","74","73"
"4923",6085,"Hakan Arikan","Basic","Turkey","Süper Lig","GK",71,"Osmanlispor","79","76","69","65","69"
"4925",6087,"Carlos Felipe Rodríguez","Basic","Mexico","LIGA Bancomer MX","GK",71,"Monarcas Morelia","70","76","70","70","70"
"4926",6088,"Mohammed Al Owais","Basic","Saudi Arabia","Dawry Jameel","GK",71,"Al Shabab","74","74","72","72","72"
"4937",6099,"Thomas Sørensen","Basic","Denmark","Hyundai A-League","GK",71,"Melbourne City","67","71","73","70","73"
"4956",6118,"Da Costa","Basic","Brazil","Calcio A","GK",71,"Bologna","70","74","73","68","73"
"4957",6119,"Samir Ujkani","Basic","Kosovo","Calcio B","GK",71,"Pisa","73","72","72","72","72"
"4978",6140,"Sammy Bossut","Basic","Belgium","Belgium Pro League","GK",71,"SV Zulte-Waregem","70","72","72","72","72"
"4999",6161,"John Alvbåge","Basic","Sweden","Allsvenskan","GK",71,"IFK Göteborg","65","65","78","76","78"
"5010",6172,"Pawel Kieszek","Basic","Poland","LaLiga 1 I 2 I 3","GK",71,"Córdoba CF","73","74","66","67","66"
"5027",6189,"Hugo Ventura","Basic","Portugal","Liga NOS","GK",71,"CF Os Belenenses","71","75","67","67","67"
"5038",6200,"Dani Hernández","Basic","Venezuela","LaLiga 1 I 2 I 3","GK",71,"CD Tenerife","70","65","74","78","74"
"5048",6210,"Marko Dmitrovic","Basic","Serbia","LaLiga 1 I 2 I 3","GK",71,"AD Alcorcón","65","68","79","77","79"
"5091",6253,"Balázs Megyeri","Basic","Hungary","Bundesliga 2","GK",71,"SpVgg Greuther Fuerth","69","78","75","67","75"
"5095",6257,"Rafal Gikiewicz","Basic","Poland","Bundesliga","GK",71,"Sport-Club Freiburg","72","74","71","70","71"
"5096",6258,"Marco Bizot","Basic","Netherlands","Belgium Pro League","GK",71,"KRC Genk","79","77","67","67","67"
"5098",6260,"Lars Unnerstall","Basic","Germany","Bundesliga 2","GK",71,"Fortuna Düsseldorf","69","75","69","71","69"
"5100",6262,"Steve Clark","Basic","United States","Major League Soccer","GK",71,"Columbus Crew SC","71","73","70","66","70"
"5103",6265,"Ali Ahamada","Basic","Comoros","Süper Lig","GK",71,"Kayserispor","80","74","66","64","66"
"5112",6274,"Sergio Rochet","Basic","Uruguay","Eredivisie","GK",71,"AZ","75","75","65","65","65"
"5114",6276,"Muammer Yildirim","Basic","Turkey","Süper Lig","GK",71,"Kayserispor","72","74","73","67","73"
"5119",6281,"Timon Wellenreuther","Basic","Germany","Bundesliga","GK",71,"FC Schalke 04","76","74","72","64","72"
"5131",6293,"Fabian Giefer","Basic","Germany","Bundesliga","GK",71,"FC Schalke 04","75","76","72","66","72"
"5135",6297,"Mamadou Samassa","Basic","Mali","Domino’s Ligue 2","GK",71,"ESTAC Troyes","76","78","66","69","66"
"5148",6311,"Essam El-Hadary","Basic","Egypt","International","GK",71,"Egypt","71","68","76","72","76"
"5158",6321,"Paulo Garcés","Basic","Chile","Campeonato Scotiabank","GK",71,"Colo-Colo","72","69","71","72","71"
"5164",6327,"Sergey Pesyakov","Basic","Russia","Sogaz Russian Football Championship","GK",71,"Spartak Moscow","69","74","76","65","76"
"5185",6349,"Nicolás Peric","Basic","Chile","Campeonato Scotiabank","GK",71,"Audax Italiano","71","72","69","68","69"
"5200",6365,"Robin Olsen","Basic","Sweden","Alka Superliga","GK",70,"FC København","63","72","72","75","72"
"5223",6392,"Johan Wiland","Basic","Sweden","Allsvenskan","GK",70,"Malmö FF","64","66","79","73","79"
"5226",6395,"Diederik Boer","Basic","Netherlands","Eredivisie","GK",70,"Ajax","66","69","76","77","76"
"5230",6399,"Heinz Lindner","Basic","Austria","Bundesliga","GK",70,"Eintracht Frankfurt","74","74","67","65","67"
"5231",6400,"Heinz Lindner","Basic","Austria","Bundesliga","GK",70,"Eintracht Frankfurt","74","74","67","65","67"
"5245",6414,"Clément Maury","Basic","France","Domino’s Ligue 2","GK",70,"Gazélec Football Club Ajaccio","72","73","70","71","70"
"5264",6434,"Jakob Busk","Basic","Denmark","Bundesliga 2","GK",70,"1. FC Union Berlin","72","76","64","68","64"
"5266",6436,"Nicolai Larsen","Basic","Denmark","Alka Superliga","GK",70,"Aalborg BK","70","64","75","73","75"
"5268",6438,"Dorus de Vries","Basic","Netherlands","Scottish Premiership","GK",70,"Celtic","75","71","70","66","70"
"5297",6467,"Igor Stefanovic","Basic","Serbia","Liga NOS","GK",70,"Moreirense FC","72","70","68","70","68"
"5303",6473,"Tomasz Kuszczak","Basic","Poland","EFL Championship","GK",70,"Birmingham City","74","75","68","63","68"
"5307",6477,"Andy Lonergan","Basic","England","EFL Championship","GK",70,"Wolverhampton Wanderers","69","73","67","70","67"
"5316",6486,"Christian Puggioni","Basic","Italy","Calcio A","GK",70,"Sampdoria","73","74","68","71","68"
"5326",6498,"Eugene Galekovic","Basic","Australia","Hyundai A-League","GK",70,"Adelaide United","72","73","67","68","67"
"5338",6510,"Johan Dahlin","Basic","Sweden","Alka Superliga","GK",70,"FC Midtjylland","68","73","71","69","71"
"5344",6516,"Nereo Fernández","Basic","Argentina","Primera División","GK",70,"Unión de Santa Fe","66","70","78","71","78"
"5351",6523,"Pierluigi Gollini","Basic","Italy","EFL Championship","GK",70,"Aston Villa","73","76","70","60","70"
"5383",6555,"Ernestas Šetkus","Basic","Lithuania","Eredivisie","GK",70,"ADO Den Haag","66","69","75","73","75"
"5396",6568,"Nereo Champagne","Basic","Argentina","Primera División","GK",70,"Club Olimpo","70","71","70","70","70"
"5429",6601,"Mika","Basic","Portugal","Liga NOS","GK",70,"Boavista FC","73","73","70","67","70"
"5430",6602,"Mika","Basic","Portugal","Premier League","GK",70,"Sunderland","73","73","70","67","70"
"5441",6613,"Thomas Kaminski","Basic","Belgium","Belgium Pro League","GK",70,"KV Kortrijk","71","75","65","73","65"
"5445",6617,"Fabio Coltorti","Basic","Switzerland","Bundesliga","GK",70,"RB Leipzig","68","74","72","72","72"
"5456",6628,"Pär Hansson","Basic","Sweden","Eredivisie","GK",70,"Feyenoord","76","75","67","60","67"
"5462",6634,"Rubén","Basic","Spain","LaLiga Santander","GK",70,"RC Deportivo","77","70","68","69","68"
"5476",6648,"Davino Verhulst","Basic","Belgium","Belgium Pro League","GK",70,"Sporting Lokeren","73","71","69","72","69"
"5477",6649,"Alexander Walke","Basic","Germany","Österreichische Fußball-Bundesliga","GK",70,"FC Red Bull Salzburg","72","73","66","68","66"
"5502",6674,"Óscar Pérez","Basic","Mexico","LIGA Bancomer MX","GK",70,"Pachuca","70","74","73","64","73"
